STAT_ID,EXP_2019,EXP_2020,EXP_2021,EXP_2022,EXP_2023,IMP_2019,IMP_2020,IMP_2021,IMP_2022,IMP_2023,BAL_2019,BAL_2020,BAL_2021,BAL_2022,BAL_2023,GWT_2019,GWT_2020,GWT_2021,GWT_2022,GWT_2023,GDP_2019,GDP_2020,GDP_2021,GDP_2022,GDP_2023
SK,"2,315.00","2,211.00","2,836.00","2,849.00","2,486.00",500.00,871.00,664.00,810.00,785.00,"1,815.00","1,340.00","2,172.00","2,039.00","1,701.00",2.3,-5.2,3.0,1.7,,"19,280","19,070","21,606","20,889",
EG,"1,573.00","1,215.00","1,682.00","1,468.00","1,006.00",282.00,346.00,646.00,"1,691.00",611.00,"1,291.00",869.00,"1,036.00",-223.00,395.00,5.5,3.5,3.3,6.6,,"3,214","3,802","4,415","4,587",
QA,357.00,339.00,420.00,527.00,650.00,"13,037.00","7,562.00","11,611.00","16,567.00","13,138.00","-12,680.00","-7,223.00","-11,191.00","-16,040.00","-12,488.00",0.8,-3.6,1.9,3.4,3.1,"63,008","53,798","68,622","84,425","78,700"
VN,"48,178.00","48,511.00","56,729.00","60,964.00","43,939.00","21,072.00","20,579.00","23,966.00","26,725.00","21,836.00","27,106.00","27,932.00","32,763.00","34,239.00","22,103.00",7.02,2.91,2.58,8.02,,"3,439","3,549","3,753","4,087",
SA,"3,697.00","3,302.00","3,325.00","4,865.00","4,398.00","21,841.00","15,980.00","24,271.00","41,640.00","26,801.00","-18,144.00","-12,678.00","-20,946.00","-36,775.00","-22,403.00",0.8,-4.3,3.9,8.7,,"24,510","20,970","25,460","31,850",
ID,"7,650.00","6,313.00","8,550.00","10,216.00","7,675.00","8,820.00","7,595.00","10,725.00","15,735.00","10,134.00","-1,170.00","-1,282.00","-2,175.00","-5,519.00","-2,459.00",5.02,-2.07,3.69,5.31,,"4,194.1","3,932.3","4,362.7","4,798.1",
FI,308.00,283.00,531.00,316.00,305.00,"1,117.00",849.00,882.00,"1,166.00",871.00,-809.00,-566.00,-351.00,-850.00,-566.00,1.2,-2.4,3.1,2.1,,"48,668","49,168","53,595","50,655",
BG,166.00,157.00,167.00,167.00,147.00,255.00,209.00,436.00,311.00,202.00,-89.00,-52.00,-269.00,-144.00,-55.00,4.0,-4.4,4.2,3.4,1.7,"9,914.3","10,119.9","11,683.9","13,110","16,090"
PH,"8,365.00","7,126.00","9,659.00","12,306.00","6,838.00","3,658.00","3,086.00","3,894.00","5,178.00","3,457.00","4,707.00","4,040.00","5,765.00","7,128.00","3,381.00",6.1,-9.6,6.3,7.6,,"3,485.34","3,298.83","3,571.84","3,493.8",
GR,"1,640.00",863.00,"2,030.00","1,232.00",971.00,528.00,796.00,"1,309.00",902.00,683.00,"1,112.00",67.00,721.00,330.00,288.00,1.9,-9.3,8.4,5.6,,"19,974.37","19,670","19,827","20,615.21",
HR,241.00,97.00,142.00,141.00,91.00,27.00,23.00,34.00,124.00,55.00,214.00,74.00,108.00,17.00,36.00,3.4,-8.5,13.1,6.2,,"15,061","14,222","17,758","18,325",
PK,833.00,"1,073.00","1,546.00","1,199.00",674.00,419.00,226.00,328.00,487.00,190.00,414.00,847.00,"1,218.00",712.00,484.00,3.12,-1.0,5.6,6.0,-0.2,"1,488","1,371","1,555.4","1,550","1,295"
MA,322.00,271.00,310.00,358.00,324.00,160.00,172.00,222.00,260.00,155.00,162.00,99.00,88.00,98.00,169.00,2.9,-7.2,7.9,1.1,2.2,"3,550","3,310","3,820","3,490","3,700"
RU,"7,774.00","6,900.00","9,980.00","6,328.00","5,358.00","14,567.00","10,630.00","17,357.00","14,817.00","7,596.00","-6,793.00","-3,730.00","-7,377.00","-8,489.00","-2,238.00",1.3,-3,4.7,-2.1,,"11,482","10,082.7","12,205.5","15,335.5",
CH,589.00,716.00,855.00,974.00,827.00,"2,980.00","2,749.00","3,360.00","3,244.00","2,427.00","-2,391.00","-2,033.00","-2,505.00","-2,270.00","-1,600.00",1.2,-2.5,4.2,2.1,,"84,473","85,872","92,239","92,371",
RS,142.00,207.00,268.00,233.00,225.00,241.00,168.00,210.00,181.00,98.00,-99.00,39.00,58.00,52.00,127.00,4.2,-0.9,7.5,2.3,,"7,417","7,731","9,215","9,528",
IL,"1,427.00","1,425.00","1,824.00","2,122.00","1,632.00",901.00,"1,078.00","1,600.00","1,603.00","1,273.00",526.00,347.00,224.00,519.00,359.00,3.4,-2.6,8.1,6.5,2,"43,603","43,689","51,420","54,847","52,190"
HK,"31,913.00","30,654.00","37,467.00","27,651.00","19,101.00","1,780.00","1,540.00","2,247.00","1,878.00","1,522.00","30,133.00","29,114.00","35,220.00","25,773.00","17,579.00",-1.19,-6.14,6.3,-3.5,,"48,356.1","46,101","49,660.6","49,464",
SG,"12,768.00","9,828.00","14,149.00","20,205.00","15,135.00","6,660.00","8,438.00","10,691.00","10,348.00","9,525.00","6,108.00","1,390.00","3,458.00","9,857.00","5,610.00",1.3,-5.4,8.9,3.6,,"58,514","52,988","64,961","69,466",
GT,222.00,203.00,384.00,323.00,224.00,64.00,78.00,138.00,131.00,111.00,158.00,125.00,246.00,192.00,113.00,3.35,-1.5,7.5,3.8,3.5,"4,617","4,603","5,024","5,473.2",
NG,760.00,516.00,963.00,887.00,546.00,726.00,750.00,974.00,"1,791.00",854.00,34.00,-234.00,-11.00,-904.00,-308.00,2.2,-1.8,3.6,3.1,,"2,230","2,064","2,062","2,225",
PT,505.00,669.00,744.00,705.00,750.00,287.00,396.00,449.00,481.00,468.00,218.00,273.00,295.00,224.00,282.00,2.68,-8.3,5.74,6.83,2.26,"26,127.2","22,242.4","24,661.2","24,515.3",
CL,"1,214.00",867.00,"1,574.00","1,510.00","1,031.00","3,960.00","3,543.00","4,859.00","6,802.00","6,732.00","-2,746.00","-2,676.00","-3,285.00","-5,292.00","-5,701.00",0.8,-6.1,11.7,2.4,,"14,568","13,068","16,060","15,095",
VE,22.00,19.00,31.00,41.00,9.00,17.00,14.00,15.00,14.00,2.00,5.00,5.00,16.00,27.00,7.00,-27.7,-30,0.5,8,,"2,620","1,570","2,070","3,460",
GE,86.00,98.00,103.00,121.00,166.00,19.00,15.00,11.00,10.00,11.00,67.00,83.00,92.00,111.00,155.00,5,-6.8,10.4,10.1,,"4,696.2","4,255.7","5,023.2","6,671.9",
BY,48.00,55.00,70.00,38.00,53.00,56.00,41.00,82.00,14.00,4.00,-8.00,14.00,-12.00,24.00,49.00,1.2,-0.9,2.3,-4.7,3.9,"6,831.52","6,515.65","7,294.9","7,868.91","7,477.3"
KE,151.00,220.00,258.00,457.00,233.00,44.00,37.00,47.00,76.00,48.00,107.00,183.00,211.00,381.00,185.00,5.2,-0.3,7.5,5.2,,"1,970","1,940","2,070","2,100",
LK,235.00,172.00,288.00,191.00,181.00,100.00,111.00,142.00,145.00,98.00,135.00,61.00,146.00,46.00,83.00,-0.2,-4.6,3.5,-7.8,,"4,082","3,858","3,997","3,474",
EC,479.00,377.00,762.00,771.00,610.00,250.00,91.00,207.00,210.00,187.00,229.00,286.00,555.00,561.00,423.00,-0.48,-7.5,4.2,2.9,,"6,249.39","5,520.36","5,978.91","6,395",
DO,252.00,181.00,311.00,347.00,262.00,89.00,72.00,92.00,101.00,119.00,163.00,109.00,219.00,246.00,143.00,5,-6.7,12.3,4.9,,"8,170","7,170","8,480","10,110",
UZ,"2,338.00","1,704.00","1,879.00","2,184.00","1,986.00",20.00,18.00,22.00,28.00,88.00,"2,318.00","1,686.00","1,857.00","2,156.00","1,898.00",5.5,1.6,7.4,5.7,,"1,800","1,770","2,002","2,255",
PA,"1,713.00","1,369.00","1,570.00","1,170.00","1,001.00",87.00,272.00,458.00,593.00,281.00,"1,626.00","1,097.00","1,112.00",577.00,720.00,3,-17.9,15.3,10,7.5,"15,878","12,616","14,664","16,373","19,350"
